# MEAN_SAMPLE_SIZE = 112238
# TOTAL_GENES = 19235
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
SET                        NGENES       BETA   BETA_STD         SE            P FULL_NAME
GO_cc:go_proteasome_co...      74      0.132    0.00818      0.106      0.10672 GO_cc:go_proteasome_complex
GO_cc:go_nuclear_exoso...      15      0.101    0.00281      0.216      0.32074 GO_cc:go_nuclear_exosome_rnase_complex_
GO_cc:go_er_to_golgi_t...      50    -0.0594   -0.00303      0.136      0.66908 GO_cc:go_er_to_golgi_transport_vesicle
GO_cc:go_transcription...      19    -0.0293  -0.000919      0.232      0.55021 GO_cc:go_transcription_factor_tfiid_complex
GO_cc:go_centriole             94    -0.0447   -0.00312     0.0997      0.67317 GO_cc:go_centriole
GO_cc:go_microtubule_c...    1018    0.00375   0.000839     0.0306      0.45131 GO_cc:go_microtubule_cytoskeleton
GO_cc:go_lysosomal_lumen       79    -0.0147  -0.000943      0.109      0.55393 GO_cc:go_lysosomal_lumen
GO_cc:go_pre_autophago...      29     -0.312    -0.0121      0.178      0.96027 GO_cc:go_pre_autophagosomal_structure
GO_cc:go_cell_cell_con...      61     0.0618    0.00347      0.127      0.31354 GO_cc:go_cell_cell_contact_zone
GO_cc:go_muscle_myosin...      19      0.113    0.00356      0.252      0.32666 GO_cc:go_muscle_myosin_complex
GO_cc:go_voltage_gated...      39      0.409     0.0184      0.166     0.006968 GO_cc:go_voltage_gated_calcium_channel_complex
GO_cc:go_inflammasome_...      12       0.12    0.00299      0.304        0.347 GO_cc:go_inflammasome_complex
GO_cc:go_immunological...      33      0.217    0.00898      0.153     0.078235 GO_cc:go_immunological_synapse
GO_cc:go_gaba_receptor...      14     -0.283   -0.00764      0.343      0.79568 GO_cc:go_gaba_receptor_complex
GO_cc:go_endoplasmic_r...      12      0.143    0.00356      0.289      0.31037 GO_cc:go_endoplasmic_reticulum_tubular_network
GO_cc:go_filopodium_me...      18      0.574     0.0176      0.218    0.0042663 GO_cc:go_filopodium_membrane
GO_cc:go_phosphatase_c...      42     0.0812    0.00379      0.155      0.30053 GO_cc:go_phosphatase_complex
GO_cc:go_transcription...      11   -0.00928  -0.000222      0.293      0.51262 GO_cc:go_transcription_export_complex
GO_cc:go_sperm_part           135     -0.184    -0.0153     0.0844      0.98519 GO_cc:go_sperm_part
GO_cc:go_u1_snrnp              17    -0.0254  -0.000756      0.231      0.54381 GO_cc:go_u1_snrnp
GO_cc:go_anchored_comp...      19    -0.0874   -0.00275      0.223      0.65216 GO_cc:go_anchored_component_of_external_side_of_plasma_membrane
GO_cc:go_nucleoid              44      0.142    0.00677      0.127      0.13235 GO_cc:go_nucleoid
GO_cc:go_kinesin_complex       53    -0.0165  -0.000867      0.122      0.55378 GO_cc:go_kinesin_complex
GO_cc:go_holo_tfiih_co...      11     -0.467    -0.0112      0.275      0.95553 GO_cc:go_holo_tfiih_complex
GO_cc:go_basolateral_p...     200     0.0219    0.00222     0.0701       0.3774 GO_cc:go_basolateral_plasma_membrane
GO_cc:go_nuclear_outer...      21     -0.109    -0.0036      0.195      0.71144 GO_cc:go_nuclear_outer_membrane
GO_cc:go_cation_transp...      15     -0.672    -0.0188      0.285      0.99078 GO_cc:go_cation_transporting_atpase_complex
GO_cc:go_cytoplasmic_s...      29       0.31      0.012      0.179     0.041375 GO_cc:go_cytoplasmic_stress_granule
GO_cc:go_secretory_gra...     341     -0.116    -0.0154     0.0544      0.98384 GO_cc:go_secretory_granule
GO_cc:go_intrinsic_com...      19      -0.23   -0.00724      0.219      0.85383 GO_cc:go_intrinsic_component_of_mitochondrial_outer_membrane
GO_cc:go_oxidoreductas...      91     -0.187    -0.0128      0.105      0.96262 GO_cc:go_oxidoreductase_complex
GO_cc:go_vesicle_membrane     476    -0.0231   -0.00359     0.0445      0.69816 GO_cc:go_vesicle_membrane
GO_cc:go_saga_complex           7      0.326    0.00621      0.333      0.16424 GO_cc:go_saga_complex
GO_cc:go_cytoplasmic_u...      13      0.174    0.00452      0.236      0.23088 GO_cc:go_cytoplasmic_ubiquitin_ligase_complex
GO_cc:go_autophagosome         76      0.047    0.00295       0.11      0.33404 GO_cc:go_autophagosome
GO_cc:go_large_ribosom...      89    -0.0224   -0.00152     0.0952      0.59314 GO_cc:go_large_ribosomal_subunit
GO_cc:go_h4_histone_ac...      16    -0.0912   -0.00263      0.274      0.63027 GO_cc:go_h4_histone_acetyltransferase_complex
GO_cc:go_zymogen_granule       13     -0.346   -0.00899       0.27      0.90011 GO_cc:go_zymogen_granule
GO_cc:go_trans_golgi_n...      13     -0.235    -0.0061      0.265      0.81199 GO_cc:go_trans_golgi_network_transport_vesicle_membrane
GO_cc:go_endosome_lumen        26     0.0106   0.000388      0.175      0.47599 GO_cc:go_endosome_lumen
GO_cc:go_intercalated_...      50      0.165    0.00838      0.142       0.1229 GO_cc:go_intercalated_disc
GO_cc:go_late_endosome...      94    -0.0619   -0.00432     0.0992       0.7338 GO_cc:go_late_endosome_membrane
GO_cc:go_excitatory_sy...     186     0.0607    0.00594     0.0719       0.1994 GO_cc:go_excitatory_synapse
GO_cc:go_transferase_c...     221     0.0752    0.00801      0.062      0.11251 GO_cc:go_transferase_complex_transferring_phosphorus_containing_groups
GO_cc:go_chromosome_ce...     164      0.184      0.017     0.0719    0.0051533 GO_cc:go_chromosome_centromeric_region
GO_cc:go_dna_polymeras...      13    0.00809    0.00021      0.245      0.48684 GO_cc:go_dna_polymerase_complex
GO_cc:go_platelet_alph...      70     -0.212    -0.0128      0.126      0.95329 GO_cc:go_platelet_alpha_granule
GO_cc:go_telomerase_ho...      17      0.097    0.00288      0.216      0.32703 GO_cc:go_telomerase_holoenzyme_complex
GO_cc:go_intrinsic_com...     247    -0.0921    -0.0104     0.0597      0.93868 GO_cc:go_intrinsic_component_of_organelle_membrane
GO_cc:go_ada2_gcn5_ada...      14     0.0105   0.000282      0.242      0.48275 GO_cc:go_ada2_gcn5_ada3_transcription_activator_complex
GO_cc:go_sarcoplasmic_...      37     -0.187    -0.0082      0.172      0.86106 GO_cc:go_sarcoplasmic_reticulum_membrane
GO_cc:go_u2_type_splic...      29     0.0479    0.00186      0.183      0.39684 GO_cc:go_u2_type_spliceosomal_complex
GO_cc:go_plasma_membra...     171      0.127     0.0119     0.0753     0.046238 GO_cc:go_plasma_membrane_receptor_complex
GO_cc:go_acrosomal_mem...      22     -0.547    -0.0185      0.202      0.99664 GO_cc:go_acrosomal_membrane
GO_cc:go_microbody_mem...      55    0.00444   0.000237      0.122      0.48543 GO_cc:go_microbody_membrane
GO_cc:go_basal_lamina          20    -0.0824   -0.00266      0.235      0.63721 GO_cc:go_basal_lamina
GO_cc:go_copi_vesicle_...      13      0.111    0.00288       0.23      0.31484 GO_cc:go_copi_vesicle_coat
GO_cc:go_cytoplasmic_s...     164    -0.0582   -0.00535     0.0769       0.7755 GO_cc:go_cytoplasmic_side_of_membrane
GO_cc:go_platelet_alph...      13     -0.292   -0.00758      0.282      0.84918 GO_cc:go_platelet_alpha_granule_membrane
GO_cc:go_neuron_projec...     120    -0.0212   -0.00167     0.0863      0.59686 GO_cc:go_neuron_projection_terminus
GO_cc:go_cytoplasmic_r...     274     0.0739    0.00875      0.058      0.10137 GO_cc:go_cytoplasmic_region
GO_cc:go_proteasome_re...      11      0.464     0.0111      0.269     0.041879 GO_cc:go_proteasome_regulatory_particle_base_subcomplex
GO_cc:go_secretory_gra...      81     -0.147   -0.00953      0.118      0.89337 GO_cc:go_secretory_granule_lumen
GO_cc:go_ribosome             210    -0.0963      -0.01     0.0644      0.93246 GO_cc:go_ribosome
GO_cc:go_mhc_protein_c...       5      0.141    0.00227      0.355       0.3462 GO_cc:go_mhc_protein_complex
GO_cc:go_actin_cytoske...     426     0.0944     0.0139      0.047     0.022297 GO_cc:go_actin_cytoskeleton
GO_cc:go_glycoprotein_...      19    -0.0806   -0.00253      0.243      0.62966 GO_cc:go_glycoprotein_complex
GO_cc:go_coated_pit            64      0.163    0.00938      0.118     0.083327 GO_cc:go_coated_pit
GO_cc:go_exocytic_vesicle     137     -0.022   -0.00185     0.0772      0.61199 GO_cc:go_exocytic_vesicle
GO_cc:go_rna_polymeras...     115    -0.0248   -0.00191     0.0813      0.62003 GO_cc:go_rna_polymerase_complex
GO_cc:go_mrna_cleavage...      16    -0.0786   -0.00227      0.242      0.62719 GO_cc:go_mrna_cleavage_factor_complex
GO_cc:go_perinuclear_r...     614    0.00392   0.000689     0.0391      0.46014 GO_cc:go_perinuclear_region_of_cytoplasm
GO_cc:go_nucleolar_part        58    -0.0591   -0.00324      0.119      0.69026 GO_cc:go_nucleolar_part
GO_cc:go_rna_polymeras...      94     0.0614    0.00428     0.0987      0.26686 GO_cc:go_rna_polymerase_ii_transcription_factor_complex
GO_cc:go_ino80_type_co...      21     0.0791    0.00261      0.226      0.36306 GO_cc:go_ino80_type_complex
GO_cc:go_cell_cortex_part     112      0.188     0.0143     0.0911     0.019434 GO_cc:go_cell_cortex_part
GO_cc:go_smn_complex           11      0.259    0.00619      0.247      0.14746 GO_cc:go_smn_complex
GO_cc:go_golgi_stack          121     0.0632      0.005     0.0859      0.23098 GO_cc:go_golgi_stack
GO_cc:go_scf_ubiquitin...      33      0.235    0.00972      0.162     0.073687 GO_cc:go_scf_ubiquitin_ligase_complex
GO_cc:go_cd40_receptor...      11      0.113    0.00271      0.281      0.34317 GO_cc:go_cd40_receptor_complex
GO_cc:go_bloc_1_complex        16      0.215    0.00619      0.215      0.15918 GO_cc:go_bloc_1_complex
GO_cc:go_t_cell_recept...      19    -0.0893    -0.0028      0.222      0.65602 GO_cc:go_t_cell_receptor_complex
GO_cc:go_cytosolic_part       205    -0.0232   -0.00238     0.0663      0.63684 GO_cc:go_cytosolic_part
GO_cc:go_vacuole             1104    -0.0147   -0.00342     0.0296      0.69004 GO_cc:go_vacuole
GO_cc:go_secretory_ves...     446    -0.0826    -0.0124     0.0465       0.9621 GO_cc:go_secretory_vesicle
GO_cc:go_nuclear_speck        183      0.051    0.00495     0.0668      0.22251 GO_cc:go_nuclear_speck
GO_cc:go_nuclear_trans...      20      0.164     0.0053      0.216      0.22375 GO_cc:go_nuclear_transcriptional_repressor_complex
GO_cc:go_nuclear_cycli...      15    -0.0377   -0.00105       0.24      0.56245 GO_cc:go_nuclear_cyclin_dependent_protein_kinase_holoenzyme_complex
GO_cc:go_site_of_polar...     140    -0.0452   -0.00384      0.083      0.70682 GO_cc:go_site_of_polarized_growth
GO_cc:go_endocytic_ves...     226     0.0105    0.00114     0.0663       0.4369 GO_cc:go_endocytic_vesicle
GO_cc:go_chromosomal_r...     318      0.105     0.0134      0.052     0.021458 GO_cc:go_chromosomal_region
GO_cc:go_inclusion_body        67   -0.00644   -0.00038      0.105      0.52443 GO_cc:go_inclusion_body
GO_cc:go_mitotic_spindle       53     0.0146   0.000766       0.13       0.4554 GO_cc:go_mitotic_spindle
GO_cc:go_anaphase_prom...      22      0.379     0.0128      0.206     0.032998 GO_cc:go_anaphase_promoting_complex
GO_cc:go_nuclear_inclu...      12    -0.0755   -0.00188      0.274      0.60847 GO_cc:go_nuclear_inclusion_body
GO_cc:go_cell_projecti...      47     0.0864    0.00426       0.13      0.25287 GO_cc:go_cell_projection_cytoplasm
GO_cc:go_proton_transp...      21     0.0772    0.00255      0.203      0.35187 GO_cc:go_proton_transporting_two_sector_atpase_complex_proton_transporting_domain
GO_cc:go_male_germ_cel...      15      0.107    0.00298      0.249      0.33384 GO_cc:go_male_germ_cell_nucleus
GO_cc:go_myofilament           24      0.406     0.0143      0.199     0.020683 GO_cc:go_myofilament
GO_cc:go_gemini_of_coi...      10      0.282    0.00642      0.259       0.1387 GO_cc:go_gemini_of_coiled_bodies
GO_cc:go_cell_projecti...     285      0.123     0.0148     0.0545     0.012258 GO_cc:go_cell_projection_membrane
GO_cc:go_apical_part_o...     350    -0.0383   -0.00512     0.0543      0.75981 GO_cc:go_apical_part_of_cell
GO_cc:go_intrinsic_com...     111     -0.102   -0.00774     0.0877      0.87817 GO_cc:go_intrinsic_component_of_endoplasmic_reticulum_membrane
GO_cc:go_spindle_pole         123     0.0252    0.00201     0.0867      0.38587 GO_cc:go_spindle_pole
GO_cc:go_fanconi_anaem...      12      0.354    0.00885      0.274     0.097833 GO_cc:go_fanconi_anaemia_nuclear_complex
GO_cc:go_sex_chromosome        26      0.435      0.016      0.187     0.010042 GO_cc:go_sex_chromosome
GO_cc:go_mrna_cleavage...      11     -0.242   -0.00578      0.265      0.81939 GO_cc:go_mrna_cleavage_and_polyadenylation_specificity_factor_complex
GO_cc:go_neuron_part         1204    -0.0139   -0.00338     0.0289      0.68521 GO_cc:go_neuron_part
GO_cc:go_cajal_body            50     0.0778    0.00396      0.122      0.26226 GO_cc:go_cajal_body
GO_cc:go_rough_endopla...      68    -0.0619   -0.00368      0.112      0.71055 GO_cc:go_rough_endoplasmic_reticulum
GO_cc:go_transferase_c...     661      0.102     0.0186      0.037    0.0028709 GO_cc:go_transferase_complex
GO_cc:go_vacuolar_prot...      13     0.0526    0.00137      0.274       0.4239 GO_cc:go_vacuolar_proton_transporting_v_type_atpase_complex
GO_cc:go_apical_juncti...     119      0.175     0.0137     0.0912     0.027553 GO_cc:go_apical_junction_complex
GO_cc:go_microbody            131      0.101    0.00831     0.0825      0.11059 GO_cc:go_microbody
GO_cc:go_germ_cell_nuc...      19      0.132    0.00416      0.225      0.27768 GO_cc:go_germ_cell_nucleus
GO_cc:go_intrinsic_com...    1546     0.0161    0.00438     0.0269      0.27475 GO_cc:go_intrinsic_component_of_plasma_membrane
GO_cc:go_pore_complex          17    -0.0588   -0.00175      0.216      0.60726 GO_cc:go_pore_complex
GO_cc:go_lumenal_side_...      13      0.307    0.00798      0.277      0.13353 GO_cc:go_lumenal_side_of_membrane
GO_cc:go_golgi_associa...      48      0.024     0.0012      0.134      0.42879 GO_cc:go_golgi_associated_vesicle_membrane
GO_cc:go_cytoplasmic_e...      15      0.123    0.00344      0.213      0.28108 GO_cc:go_cytoplasmic_exosome_rnase_complex_
GO_cc:go_lipid_particle        57   -0.00305  -0.000166      0.123      0.50992 GO_cc:go_lipid_particle
GO_cc:go_intrinsic_com...      13     -0.015  -0.000389      0.232      0.52572 GO_cc:go_intrinsic_component_of_peroxisomal_membrane
GO_cc:go_vesicle_coat          44    -0.0461    -0.0022      0.137       0.6314 GO_cc:go_vesicle_coat
GO_cc:go_postsynapse          356     0.0249    0.00336     0.0519      0.31556 GO_cc:go_postsynapse
GO_cc:go_precatalytic_...      20     0.0565    0.00182      0.181      0.37729 GO_cc:go_precatalytic_spliceosome
GO_cc:go_axon                 402    -0.0167   -0.00238      0.049      0.63315 GO_cc:go_axon
GO_cc:go_clathrin_coat         46    -0.0954   -0.00466      0.137      0.75756 GO_cc:go_clathrin_coat
GO_cc:go_basal_plasma_...      32      0.049      0.002      0.169      0.38605 GO_cc:go_basal_plasma_membrane
GO_cc:go_mcm_complex           11     0.0486    0.00116      0.263      0.42663 GO_cc:go_mcm_complex
GO_cc:go_nuclear_body         329     0.0756    0.00981     0.0503     0.066303 GO_cc:go_nuclear_body
GO_cc:go_ampa_glutamat...      24     -0.177   -0.00625      0.198      0.81416 GO_cc:go_ampa_glutamate_receptor_complex
GO_cc:go_clathrin_coat...     142     0.0582    0.00499     0.0804      0.23451 GO_cc:go_clathrin_coated_vesicle
GO_cc:go_protein_kinas...      82     0.0894    0.00583      0.106      0.19875 GO_cc:go_protein_kinase_complex
GO_cc:go_vesicle_lumen        102     -0.128    -0.0093      0.101       0.8986 GO_cc:go_vesicle_lumen
GO_cc:go_protein_compl...      31      0.294     0.0118       0.18     0.050862 GO_cc:go_protein_complex_involved_in_cell_adhesion
GO_cc:go_trans_golgi_n...     175     0.0748     0.0071     0.0715      0.14796 GO_cc:go_trans_golgi_network
GO_cc:go_photoreceptor...      13    -0.0978   -0.00254      0.247      0.65402 GO_cc:go_photoreceptor_outer_segment_membrane
GO_cc:go_hops_complex          14      0.237    0.00639      0.272      0.19219 GO_cc:go_hops_complex
GO_cc:go_ionotropic_gl...      44    -0.0896   -0.00428      0.152      0.72279 GO_cc:go_ionotropic_glutamate_receptor_complex
GO_cc:go_organelle_mem...      10     -0.076   -0.00173      0.281      0.60677 GO_cc:go_organelle_membrane_contact_site
GO_cc:go_sodium_channe...      17     -0.307   -0.00914      0.265      0.87744 GO_cc:go_sodium_channel_complex
GO_cc:go_eukaryotic_tr...      15      0.121    0.00339      0.245      0.31031 GO_cc:go_eukaryotic_translation_initiation_factor_3_complex
GO_cc:go_ccr4_not_complex      15     -0.141   -0.00393      0.233      0.72742 GO_cc:go_ccr4_not_complex
GO_cc:go_m_band                20      0.518     0.0167      0.267     0.025921 GO_cc:go_m_band
GO_cc:go_npbaf_complex         12       0.33    0.00823      0.262      0.10453 GO_cc:go_npbaf_complex
GO_cc:go_outer_mitocho...      12     -0.145   -0.00361      0.234       0.7319 GO_cc:go_outer_mitochondrial_membrane_protein_complex
GO_cc:go_cortical_cyto...      76      0.293     0.0184      0.107    0.0031024 GO_cc:go_cortical_cytoskeleton
GO_cc:go_myosin_filament       22      0.222     0.0075      0.225      0.16171 GO_cc:go_myosin_filament
GO_cc:go_neuronal_post...      52    -0.0217   -0.00113      0.129      0.56703 GO_cc:go_neuronal_postsynaptic_density
GO_cc:go_intermediate_...     194     -0.158    -0.0158      0.109      0.92691 GO_cc:go_intermediate_filament
GO_cc:go_cytosolic_sma...      38     -0.244    -0.0108      0.149      0.94942 GO_cc:go_cytosolic_small_ribosomal_subunit
GO_cc:go_snare_complex         51   -0.00569  -0.000292      0.132      0.51723 GO_cc:go_snare_complex
GO_cc:go_dna_replicati...      14     -0.272   -0.00734      0.232      0.87981 GO_cc:go_dna_replication_factor_a_complex
GO_cc:go_ubiquitin_lig...     251      0.147     0.0167      0.061    0.0078451 GO_cc:go_ubiquitin_ligase_complex
GO_cc:go_rough_endopla...      18    -0.0184  -0.000562      0.209      0.53505 GO_cc:go_rough_endoplasmic_reticulum_membrane
GO_cc:go_axon_initial_...      12     -0.249   -0.00622      0.317      0.78413 GO_cc:go_axon_initial_segment
GO_cc:go_u2_snrnp              17     0.0685    0.00203      0.218      0.37671 GO_cc:go_u2_snrnp
GO_cc:go_actin_filamen...      54    -0.0971   -0.00514      0.133      0.76775 GO_cc:go_actin_filament_bundle
GO_cc:go_perinuclear_e...      12     -0.139   -0.00348      0.331      0.66296 GO_cc:go_perinuclear_endoplasmic_reticulum
GO_cc:go_ciliary_tip           43     0.0752    0.00355      0.151      0.30973 GO_cc:go_ciliary_tip
GO_cc:go_pronucleus            15      0.549     0.0153      0.303     0.035057 GO_cc:go_pronucleus
GO_cc:go_organelle_inn...     503    -0.0166   -0.00265     0.0413      0.65593 GO_cc:go_organelle_inner_membrane
GO_cc:go_golgi_cisterna        89   -0.00639  -0.000434        0.1      0.52544 GO_cc:go_golgi_cisterna
GO_cc:go_nuclear_nucle...      34     -0.273    -0.0115      0.217      0.89592 GO_cc:go_nuclear_nucleosome
GO_cc:go_pcg_protein_c...      39      0.241     0.0108      0.147     0.050095 GO_cc:go_pcg_protein_complex
GO_cc:go_golgi_apparat...     843     0.0553     0.0113     0.0342     0.053001 GO_cc:go_golgi_apparatus_part
GO_cc:go_potassium_cha...      88     0.0342    0.00231       0.11      0.37749 GO_cc:go_potassium_channel_complex
GO_cc:go_small_ribosom...      62     -0.218    -0.0124      0.117      0.96905 GO_cc:go_small_ribosomal_subunit
GO_cc:go_copi_coated_v...      17    -0.0116  -0.000346      0.207       0.5224 GO_cc:go_copi_coated_vesicle_membrane
GO_cc:go_proton_transp...      45    -0.0553   -0.00267      0.135      0.65922 GO_cc:go_proton_transporting_two_sector_atpase_complex
GO_cc:go_centrosome           464     0.0265    0.00407     0.0447      0.27644 GO_cc:go_centrosome
GO_cc:go_set1c_compass...      10      0.113    0.00257      0.264      0.33423 GO_cc:go_set1c_compass_complex
GO_cc:go_cytoplasmic_m...      70      0.111    0.00668      0.116      0.16841 GO_cc:go_cytoplasmic_mrna_processing_body
GO_cc:go_protein_phosp...       9       0.33    0.00713      0.318      0.15022 GO_cc:go_protein_phosphatase_type_1_complex
GO_cc:go_node_of_ranvier       15     -0.214   -0.00597      0.247      0.80668 GO_cc:go_node_of_ranvier
GO_cc:go_compact_myelin        15     -0.084   -0.00234      0.262      0.62575 GO_cc:go_compact_myelin
GO_cc:go_motile_cilium        105     -0.153    -0.0113     0.0963      0.94377 GO_cc:go_motile_cilium
GO_cc:go_microvillus           75     -0.392    -0.0244      0.112      0.99977 GO_cc:go_microvillus
GO_cc:go_dendritic_shaft       33     -0.156   -0.00648       0.16      0.83664 GO_cc:go_dendritic_shaft
GO_cc:go_cytosolic_pro...      11      0.624     0.0149      0.271     0.010555 GO_cc:go_cytosolic_proteasome_complex
GO_cc:go_pml_body              92     0.0882    0.00609     0.0947       0.1758 GO_cc:go_pml_body
GO_cc:go_cell_cortex_r...      16     -0.142   -0.00411      0.244      0.72065 GO_cc:go_cell_cortex_region
GO_cc:go_neuron_spine         116     0.0281    0.00217     0.0876      0.37446 GO_cc:go_neuron_spine
GO_cc:go_endoplasmic_r...    1092      0.013      0.003     0.0301      0.33329 GO_cc:go_endoplasmic_reticulum_part
GO_cc:go_nuclear_chrom...     494     0.0761      0.012     0.0448     0.044689 GO_cc:go_nuclear_chromosome
GO_cc:go_endocytic_ves...     125     0.0247    0.00198     0.0897       0.3917 GO_cc:go_endocytic_vesicle_membrane
GO_cc:go_high_density_...      24     -0.261    -0.0092      0.209      0.89412 GO_cc:go_high_density_lipoprotein_particle
GO_cc:go_nmda_selectiv...      11     -0.118   -0.00282      0.307      0.64921 GO_cc:go_nmda_selective_glutamate_receptor_complex
GO_cc:go_blood_micropa...     107    -0.0918   -0.00682     0.0981      0.82522 GO_cc:go_blood_microparticle
GO_cc:go_preribosome           57    -0.0393   -0.00213      0.112      0.63658 GO_cc:go_preribosome
GO_cc:go_paranode_regi...      12    -0.0805   -0.00201      0.296      0.60704 GO_cc:go_paranode_region_of_axon
GO_cc:go_axonal_growth...      19      0.291    0.00915      0.226     0.098624 GO_cc:go_axonal_growth_cone
GO_cc:go_protein_dna_c...     164     0.0649    0.00596      0.089      0.23314 GO_cc:go_protein_dna_complex
GO_cc:go_apical_dendrite       14      0.216    0.00582      0.272      0.21329 GO_cc:go_apical_dendrite
GO_cc:go_actomyosin            60    -0.0597   -0.00333      0.126      0.68278 GO_cc:go_actomyosin
GO_cc:go_stereocilium_...      40     -0.166   -0.00755      0.157      0.85369 GO_cc:go_stereocilium_bundle
GO_cc:go_organellar_ri...      73    0.00926   0.000569      0.107      0.46559 GO_cc:go_organellar_ribosome
GO_cc:go_transcription...      69      0.135    0.00805      0.116       0.1221 GO_cc:go_transcriptional_repressor_complex
GO_cc:go_nuclear_repli...      37     0.0663    0.00291      0.153      0.33191 GO_cc:go_nuclear_replication_fork
GO_cc:go_invadopodium          10      0.239    0.00544      0.302       0.2145 GO_cc:go_invadopodium
GO_cc:go_exon_exon_jun...      22    -0.0723   -0.00244      0.182      0.65446 GO_cc:go_exon_exon_junction_complex
GO_cc:go_ciliary_part         293    -0.0313   -0.00383     0.0552       0.7146 GO_cc:go_ciliary_part
GO_cc:go_costamere             17      0.312    0.00926      0.237     0.094261 GO_cc:go_costamere
GO_cc:go_swi_snf_super...      68      0.179     0.0106      0.117     0.063576 GO_cc:go_swi_snf_superfamily_type_complex
GO_cc:go_chromatin            414      0.109     0.0158     0.0499     0.014471 GO_cc:go_chromatin
GO_cc:go_basement_memb...      87    -0.0585   -0.00392      0.106        0.709 GO_cc:go_basement_membrane
GO_cc:go_brush_border          99     0.0498    0.00356     0.0928      0.29565 GO_cc:go_brush_border
GO_cc:go_mitochondrial...     400     0.0578    0.00825      0.046      0.10453 GO_cc:go_mitochondrial_matrix
GO_cc:go_platelet_dens...      11      0.262    0.00626      0.328      0.21229 GO_cc:go_platelet_dense_tubular_network
GO_cc:go_cell_junction       1092     0.0495     0.0115     0.0307     0.053655 GO_cc:go_cell_junction
GO_cc:go_nuclear_chrom...     275     0.0589    0.00699     0.0597      0.16181 GO_cc:go_nuclear_chromatin
GO_cc:go_complex_of_co...      19    -0.0225  -0.000707      0.246      0.53643 GO_cc:go_complex_of_collagen_trimers
GO_cc:go_early_endosom...     101     0.0705    0.00509     0.0915       0.2206 GO_cc:go_early_endosome_membrane
GO_cc:go_transcription...     284     0.0626    0.00755     0.0596      0.14676 GO_cc:go_transcription_factor_complex
GO_cc:go_myelin_sheath        160    -0.0523   -0.00475     0.0724      0.76469 GO_cc:go_myelin_sheath
GO_cc:go_spliceosomal_...      25    -0.0888    -0.0032      0.166      0.70364 GO_cc:go_spliceosomal_tri_snrnp_complex
GO_cc:go_platelet_alph...      51     -0.151   -0.00777      0.146      0.84887 GO_cc:go_platelet_alpha_granule_lumen
GO_cc:go_microvillus_m...      19     -0.424    -0.0133      0.235      0.96441 GO_cc:go_microvillus_membrane
GO_cc:go_ribonucleopro...     141      0.112    0.00957      0.081      0.08306 GO_cc:go_ribonucleoprotein_granule
GO_cc:go_clathrin_coat...      53     0.0485    0.00254      0.135      0.35955 GO_cc:go_clathrin_coated_endocytic_vesicle
GO_cc:go_arp2_3_protei...      11     -0.138   -0.00329      0.243      0.71425 GO_cc:go_arp2_3_protein_complex
GO_cc:go_leading_edge_...     133      0.208     0.0173     0.0786    0.0040567 GO_cc:go_leading_edge_membrane
GO_cc:go_contractile_f...     206      0.176     0.0181      0.073     0.008055 GO_cc:go_contractile_fiber
GO_cc:go_transcription...      12    -0.0152  -0.000379      0.254      0.52382 GO_cc:go_transcription_factor_tftc_complex
GO_cc:go_cytosolic_lar...      56    -0.0764   -0.00411      0.121      0.73644 GO_cc:go_cytosolic_large_ribosomal_subunit
GO_cc:go_cluster_of_ac...     133   -0.00369  -0.000306     0.0825      0.51785 GO_cc:go_cluster_of_actin_based_cell_projections
GO_cc:go_proteinaceous...     336    -0.0369   -0.00483     0.0553      0.74774 GO_cc:go_proteinaceous_extracellular_matrix
GO_cc:go_phagocytic_cup        16     0.0469    0.00135      0.232      0.41984 GO_cc:go_phagocytic_cup
GO_cc:go_proton_transp...      16     -0.047   -0.00136      0.237      0.57876 GO_cc:go_proton_transporting_two_sector_atpase_complex_catalytic_domain
GO_cc:go_cytoskeletal_...    1377    0.00595    0.00153     0.0278      0.41537 GO_cc:go_cytoskeletal_part
GO_cc:go_microtubule          387    -0.0733    -0.0103     0.0479      0.93713 GO_cc:go_microtubule
GO_cc:go_cytoskeleton        1874     0.0344     0.0102     0.0239     0.075376 GO_cc:go_cytoskeleton
GO_cc:go_copi_coated_v...      23     0.0777    0.00269      0.177      0.32993 GO_cc:go_copi_coated_vesicle
GO_cc:go_nuclear_euchr...      23      0.289       0.01      0.187     0.060563 GO_cc:go_nuclear_euchromatin
GO_cc:go_cortical_acti...      55      0.338     0.0181      0.125    0.0033469 GO_cc:go_cortical_actin_cytoskeleton
GO_cc:go_pericentric_h...      14      0.395     0.0107       0.26     0.064217 GO_cc:go_pericentric_heterochromatin
GO_cc:go_glial_cell_pr...      14     -0.713    -0.0192      0.243      0.99836 GO_cc:go_glial_cell_projection
GO_cc:go_specific_granule      14     0.0743      0.002      0.273      0.39266 GO_cc:go_specific_granule
GO_cc:go_heterotrimeri...      32      -0.18   -0.00734      0.168      0.85871 GO_cc:go_heterotrimeric_g_protein_complex
GO_cc:go_endoplasmic_r...     188     0.0561    0.00552     0.0705      0.21302 GO_cc:go_endoplasmic_reticulum_lumen
